kind	key	direction	classification	disposition	canonical_name	implementation	payload	fixture	client	owner	cata_ref	cata_js_ref	plan	state	evidence	notes
block	src/server/game/Server/WorldSocket.cpp@38821cccb7eb89f1:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	malformed fixtures and affected object compilation	typed auth-session parser runs before the existing database query
block	src/server/game/Server/WorldSocket.cpp@80e12e0507af23dd:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	checker mutation and affected object compilation	typed auth-session state crosses only the existing async callback
block	src/server/game/Server/WorldSocket.cpp@c4bd2f5d851fbe4e:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	exact error response fixture	pre-session errors use the shared typed response serializer
block	src/server/game/Server/WorldSocket.cpp@9671aaad57276995:2	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	exact error response fixture	pre-session responses retain the existing socket send path
block	src/server/game/Server/WorldSocket.h@9364d2eaab5f0833:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.h	-	World authentication	converted	affected object compilation	forward declaration retains the current header dependency boundary
block	src/server/game/Server/WorldSocket.h@c3f6dab5d052fe17:1	none	required-cata	delete	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.h	-	World authentication	converted	checker mutation	obsolete inline auth-session declaration removed
block	src/server/game/Server/WorldSocket.h@453b0c611fa7d01a:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.h	-	World authentication	converted	affected object compilation	async callback owns typed auth-session state
block	src/server/game/Server/WorldSession.cpp@0b896810d9d8d34a:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSession authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/AuthHandler.cpp	-	World authentication	converted	exact queued response fixtures	queue release and refresh delegate to the shared serializer
block	src/server/game/Server/WorldSession.cpp@a6811ac8b3cc7845:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSession authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/AuthHandler.cpp	-	World authentication	converted	exact plain-error response fixture	holder initialization failure sends a canonical plain error
block	src/server/game/Server/WorldSessionMgr.cpp@80467c66a03ab344:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSession authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/AuthHandler.cpp	-	World authentication	converted	exact queued-success response fixture	initial queue admission sends success and wait data without changing queue policy
block	.github/README.md@f85f07ae63d256dd:1	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 1	-	-	Plan 1	classified	upstream/master...HEAD @@ -0,0 +1,2 @@	conversion governance or audit tooling required by the fork goal
block	AGENTS.md@0334ef84948db968:1	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 1	-	-	Plan 1	classified	upstream/master...HEAD @@ -21,0 +23 @@ Read the matching doc(s) BEFORE starting the task:	conversion governance or audit tooling required by the fork goal
block	AGENTS.md@e6012acc56c9e70e:1	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 1	-	-	Plan 1	classified	upstream/master...HEAD @@ -3 +3,2 @@	conversion governance or audit tooling required by the fork goal
block	src/cmake/macros/FindMySQL.cmake@338adea8c7e6763b:1	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Plan 2	-	-	Build environment	classified	MariaDB 10.11 configure rejection and MySQL 8.0.46 CTest 2/2	vendor probe rejects incompatible headers before compilation
block	src/cmake/macros/FindMySQL.cmake@ecc69cbfb164a8f1:1	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Plan 2	-	-	Build environment	classified	MariaDB 10.11 configure rejection and MySQL 8.0.46 CTest 2/2	vendor probe runs before the misleading numeric version check
block	src/server/game/Entities/Object/ObjectGuid.cpp@18e2f78386f33c8f:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -26,0 +27,12 @@ ObjectGuid const ObjectGuid::Empty = ObjectGuid();	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.cpp@ecfa6355c84e1e14:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -51 +63 @@ std::string ObjectGuid::ToString() const	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@09246a572b806961:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -200,0 +215 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@13c29058c4812fc6:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -198,0 +211 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@14d3287ab1bef146:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -145,4 +151,4 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
